Ensembl Gene ID	Associated Gene Name	Descriptio
T23B3.4	ckr-1	Protein CKR-1 
F12B6.3	lgc-51	Protein LGC-51 
B0205.9	B0205.9	Protein B0205.9 
C01F4.2	rga-6	Protein RGA-6, isoform a 
K04G2.7	K04G2.7	Protein K04G2.7, isoform a 
T03F1.3	pgk-1	Probable phosphoglycerate kinase 
W05F2.7	W05F2.7	Protein W05F2.7 
Y47G6A.32	Y47G6A.32	Protein Y47G6A.32 
F45H11.2	ned-8	NEDD8 
C37A5.8	fipr-24	Protein FIPR-24 
T23G11.1	T23G11.1	Protein T23G11.1 
Y73E7A.3	Y73E7A.3	Protein Y73E7A.3, isoform b 
F28H1.2	cpn-3	Protein CPN-3 
ZC308.1	gld-2	Poly(A) RNA polymerase gld-2 
F33H2.2	F33H2.2	Protein F33H2.2 
T04D3.5	T04D3.5	Protein T04D3.5 
F52B5.5	cep-1	Transcription factor cep-1 
F35E2.1	F35E2.1	Protein F35E2.1 
K04G2.3	cdc-48.3	Protein CDC-48.3 
W05H12.2	W05H12.2	Protein W05H12.2 
ZK909.3	ZK909.3	Protein ZK909.3 
F33D11.3	col-54	Protein COL-54 
F02E9.3	F02E9.3	Protein F02E9.3 
F14B6.3	F14B6.3	Protein F14B6.3 
B0379.4	scpl-1	Protein SCPL-1, isoform a 
F32B5.2	F32B5.2	Protein F32B5.2 
T08G11.1	T08G11.1	Protein T08G11.1, isoform b 
C46H11.4	lfe-2	Protein LFE-2, isoform c 
Y110A7A.9	Y110A7A.9	Protein Y110A7A.9, isoform a 
F26H9.8	uggt-2	Protein UGGT-2 
F48C1.3	F48C1.3	Protein F48C1.3 
Y37F4.4	Y37F4.4	Protein Y37F4.4 
T06D10.1	rsbp-1	Protein RSBP-1 
CC4.3	smu-1	Protein SMU-1 
T15D6.11	T15D6.11	Protein T15D6.11 
Y54E5A.1	ttm-5	Protein TTM-5 
F29D10.2	F29D10.2	Protein F29D10.2 
F32H2.8	F32H2.8	Protein F32H2.8 
F59C6.16	F59C6.16	Protein F59C6.16 
W02B9.1	hmr-1	Cadherin-related hmr-1 
F53G12.7	col-45	Protein COL-45 
K02F2.3	teg-4	Protein TEG-4 
F36A2.9	F36A2.9	Protein F36A2.9, isoform b 
F47G4.6	hmg-6	Protein HMG-6 
E01A2.10	poml-3	Protein POML-3 
T27A3.4	T27A3.4	Protein T27A3.4 
C17H1.5	C17H1.5	Protein C17H1.5 
Y44E3A.2	ace-2	Protein ACE-2 
C30F12.4	C30F12.4	Protein C30F12.4 
Y105E8A.23	Y105E8A.23	Protein Y105E8A.23, isoform a 
F26B1.2	F26B1.2	Protein F26B1.2, isoform a 
T10E9.7	nuo-2	Protein NUO-2, isoform a 
Y39G10AR.18	Y39G10AR.18	Protein Y39G10AR.18, isoform a 
F30F8.1	F30F8.1	Protein F30F8.1 
F49D11.7	F49D11.7	Protein F49D11.7 
F43G9.2	F43G9.2	Protein F43G9.2, isoform a 
F37E3.3	F37E3.3	Protein F37E3.3 
Y47G6A.7	Y47G6A.7	Protein Y47G6A.7, isoform a 
R06C1.4	R06C1.4	Protein R06C1.4 
T09E11.1	glct-1	Protein GLCT-1 
F45H11.3	hpo-35	Protein HPO-35 
F28D9.2	sri-5	Protein SRI-5, isoform a 
F10G8.3	rae-1	Nucleoporin-17 
ZC334.7	ZC334.7	Protein ZC334.7 
C37A2.3	acdh-5	Protein ACDH-5 
T21G5.4	T21G5.4	Protein T21G5.4 
T15D6.6	nhr-77	Nuclear hormone receptor family member nhr-77 
M01G12.12	rrf-2	Protein RRF-2 
C16C2.1	ceh-5	Homeobox protein ceh-5 
Y63D3A.10	fbxb-56	Protein FBXB-56 
F39B2.4	sur-2	Mediator of RNA polymerase II transcription subunit 23 
C01A2.6	C01A2.6	Protein C01A2.6 
T21E12.3	T21E12.3	Protein T21E12.3 
K04F10.6	mut-2	Protein MUT-2, isoform a 
F16D3.4	F16D3.4	Protein F16D3.4 
K07A1.9	K07A1.9	Protein K07A1.9, isoform b 
Y47G6A.5	Y47G6A.5	Protein Y47G6A.5, isoform a 
Y39G10AR.2	zwl-1	Protein zwilch homolog 
ZK1053.7	ZK1053.7	Protein ZK1053.7 
K07A12.6	hot-5	Protein HOT-5 
C49A1.10	C49A1.10	Protein C49A1.10 
Y71A12C.1	nhr-276	Protein NHR-276 
M04F3.4	M04F3.4	Protein M04F3.4, isoform b 
Y34D9A.7	Y34D9A.7	Protein Y34D9A.7 
F08A8.8	F08A8.8	Protein F08A8.8 
F36D1.12	F36D1.12	Protein F36D1.12 
C15A11.7	C15A11.7	Protein C15A11.7, isoform a 
W02D3.5	lbp-6	Fatty acid-binding protein homolog 6 
R06C7.8	bub-1	Protein BUB-1 
F36F2.2	F36F2.2	Protein F36F2.2 
F54C1.2	dom-3	Protein dom-3 
F58D5.4	ksr-2	Protein KSR-2, isoform b 
K07G5.6	K07G5.6	Protein K07G5.6 
F36D1.5	F36D1.5	Protein F36D1.5 
F27D4.1	F27D4.1	Probable electron transfer flavoprotein subunit alpha, mitochondrial 
H26D21.2	msh-2	Protein MSH-2 
T22H2.6	pgrn-1	Protein PGRN-1, isoform a 
F11C3.1	F11C3.1	Protein F11C3.1 
Y95B8A.10	pde-6	Probable 3',5'-cyclic phosphodiesterase pde-6 
Y76G2A.2	Y76G2A.2	Protein Y76G2A.2 
B0511.11	B0511.11	Protein B0511.11 
W04G5.4	W04G5.4	Protein W04G5.4 
F25F8.1	F25F8.1	Protein F25F8.1 
F52A8.3	F52A8.3	Protein F52A8.3, isoform a 
C12C8.3	lin-41	Protein lin-41 
F48C1.8	F48C1.8	Protein F48C1.8 
VH15N14R.1	VH15N14R.1	Protein VH15N14R.1 
Y71G12B.1	chaf-2	Protein CHAF-2, isoform a 
Y105E8A.27	Y105E8A.27	Protein Y105E8A.27 
F07A5.2	F07A5.2	Protein F07A5.2 
W02D9.4	W02D9.4	Protein W02D9.4 
Y18H1A.10	Y18H1A.10	Protein Y18H1A.10 
B0414.5	cpb-3	Cytoplasmic polyadenylation element-binding protein 3 
K04F10.2	K04F10.2	Protein K04F10.2 
T22C1.9	T22C1.9	Protein T22C1.9 
T27F6.4	sygl-1	Protein SYGL-1 
Y65B4BR.4	wwp-1	Protein WWP-1, isoform a 
K02B12.4	axl-1	Axin-like protein 1 
Y18H1A.8	Y18H1A.8	Protein Y18H1A.8 
R119.6	taf-4	Protein TAF-4 
T27F6.7	T27F6.7	Protein T27F6.7 
K04F10.1	K04F10.1	Protein K04F10.1 
T01A4.1	gcy-28	Protein GCY-28, isoform c 
K05C4.9	K05C4.9	Protein K05C4.9 
B0511.9	cdc-26	Protein CDC-26, isoform a 
Y106G6H.16	Y106G6H.16	Protein Y106G6H.16 
C45G3.5	gip-2	Protein GIP-2 
H31G24.4	cyb-2.2	Protein CYB-2.2 
H31B20.1	H31B20.1	Protein H31B20.1 
F25H5.2	F25H5.2	Protein F25H5.2 
ZK849.5	best-26	Uncharacterized protein ZK849.5 
Y44E3B.1	zip-4	Protein ZIP-4, isoform a 
W09C3.7	W09C3.7	Protein W09C3.7 
Y53H1A.2	Y53H1A.2	Protein Y53H1A.2, isoform b 
Y48G1BR.1	Y48G1BR.1	Protein Y48G1BR.1 
Y71A12B.23	Y71A12B.23	Protein Y71A12B.23 
K10D3.8	K10D3.8	Protein K10D3.8 
B0041.2	ain-2	Protein AIN-2, isoform a 
Y54E10BR.8	ztf-23	Protein ZTF-23 
C41D11.9	C41D11.9	TM2 domain-containing protein C41D11.9 
T19A6.4	T19A6.4	Protein T19A6.4 
C55B7.11	C55B7.11	Protein C55B7.11 
C35E7.3	C35E7.3	Protein C35E7.3 
Y48G1C.13	Y48G1C.13	Protein Y48G1C.13 
C17H1.13	C17H1.13	Protein C17H1.13 
Y73E7A.8	Y73E7A.8	Protein Y73E7A.8 
Y44E3A.6	Y44E3A.6	Protein Y44E3A.6, isoform a 
C24A11.1	C24A11.1	Protein C24A11.1 
C36B1.11	C36B1.11	Protein C36B1.11 
Y71A12B.6	clec-112	Protein CLEC-112 
T23D8.2	tsp-7	Protein TSP-7 
Y48G8AR.3	Y48G8AR.3	Protein Y48G8AR.3 
C32E8.4	C32E8.4	Protein C32E8.4 
C54G4.1	rskn-2	Putative ribosomal protein S6 kinase alpha-2 
W04C9.1	haf-4	Protein HAF-4 
C10H11.6	ugt-26	Protein UGT-26, isoform a 
Y95D11A.3	Y95D11A.3	Protein Y95D11A.3 
F25D7.5	F25D7.5	Protein F25D7.5 
T04D3.4	gcy-35	Soluble guanylate cyclase gcy-35 
F56H6.13	F56H6.13	Protein F56H6.13 
ZK973.1	ZK973.1	Protein ZK973.1 
T28F2.7	acd-5	Protein ACD-5 
ZK484.4	ZK484.4	Protein ZK484.4, isoform b 
F32B4.4	F32B4.4	Protein F32B4.4, isoform a 
Y95B8A.5	gpa-16	Guanine nucleotide-binding protein alpha-16 subunit 
W02A11.3	toe-4	Protein TOE-4 
F52B5.2	F52B5.2	Protein F52B5.2 
Y71G12B.35	Y71G12B.35	Protein Y71G12B.35 
Y65B4A.3	vps-20	Protein VPS-20 
C43E11.4	tufm-2	Protein TUFM-2 
F21C3.5	pfd-6	Probable prefoldin subunit 6 
W09C5.11	linc-1	Protein W09C5.11 
ZC581.2	ZC581.2	Protein ZC581.2 
T05F1.4	T05F1.4	Protein T05F1.4 
F15D3.7	F15D3.7	Protein F15D3.7 
F56C11.6	F56C11.6	Protein F56C11.6, isoform a 
D2092.1	D2092.1	Protein D2092.1, isoform b 
T22A3.12	T22A3.12	Protein T22A3.12 
F30A10.6	sac-1	Protein SAC-1 
F56G4.7	F56G4.7	Protein F56G4.7 
F11A6.2	scrm-4	Protein SCRM-4 
Y20F4.2	crtc-1	Protein CRTC-1 
T05F1.11	T05F1.11	Protein T05F1.11 
M05B5.5	hlh-2	Protein HLH-2, isoform a 
F55A12.9	pqn-44	Protein PQN-44, isoform c 
W03G9.3	W03G9.3	Protein W03G9.3 
Y67A6A.1	Y67A6A.1	Protein Y67A6A.1 
F58D5.6	F58D5.6	Protein F58D5.6 
Y52B11C.1	Y52B11C.1	Protein Y52B11C.1 
Y105E8A.10	hpo-13	Protein HPO-13, isoform a 
C53H9.1	rpl-27	60S ribosomal protein L27 
R06C1.3	wve-1	Protein WVE-1, isoform a 
F48C1.2	fbxa-145	Protein FBXA-145 
C41D11.4	C41D11.4	Protein C41D11.4 
C27A12.10	mbd-2	Protein MBD-2 
C34B2.7	sdha-2	Protein SDHA-2 
T28B8.6	T28B8.6	Protein T28B8.6 
K03E5.3	cdk-2	Protein CDK-2 
T19B4.1	pamn-1	Probable peptidyl-glycine alpha-amidating monooxygenase T19B4.1 Probable peptidylglycine alpha-hydroxylating monooxygenase Probable peptidyl-alpha-hydroxyglycine alpha-amidating lyase
Y110A7A.16	elpc-1	Protein ELPC-1 
T08B2.5	T08B2.5	Protein T08B2.5, isoform b 
T01G9.3	dma-1	Protein DMA-1 
C55B7.1	glh-2	ATP-dependent RNA helicase glh-2 
T23H4.1	inx-20	Protein INX-20, isoform b 
K08C9.10	K08C9.10	Protein K08C9.10 
Y48G8AL.5	Y48G8AL.5	Protein Y48G8AL.5 
Y105E8A.32	Y105E8A.32	Protein Y105E8A.32 
Y18D10A.23	Y18D10A.23	Protein Y18D10A.23 
C25A1.5	C25A1.5	Protein C25A1.5 
Y71G12B.16	drag-1	Protein DRAG-1 
F47G4.2	gadr-6	Protein GADR-6 
K06A5.2	K06A5.2	Protein K06A5.2 
T02E1.2	T02E1.2	Protein T02E1.2 
C50F2.7	C50F2.7	Protein C50F2.7 
F02E9.10	F02E9.10	Protein F02E9.10, isoform b 
F36A2.4	twk-30	Protein TWK-30 
B0261.4	mrpl-47	Protein MRPL-47, isoform a 
F53F10.3	F53F10.3	Probable mitochondrial pyruvate carrier 1 
F58D5.1	hrp-2	Protein HRP-2, isoform a 
C31H5.3	acr-19	Protein ACR-19, isoform a 
C36B1.7	dhfr-1	Putative dihydrofolate reductase 
C12C8.2	cbl-1	Protein CBL-1, isoform a 
C36B1.8	gls-1	Germline survival defective-1 
C24A11.8	frm-4	Protein FRM-4, isoform a 
Y39G10AL.1	Y39G10AL.1	Protein Y39G10AL.1 
T02G6.5	T02G6.5	Protein T02G6.5, isoform b 
F46F11.2	cey-2	Protein CEY-2 
C47F8.5	C47F8.5	Protein C47F8.5 
M05B5.6	trpa-2	Protein TRPA-2 
Y105E8B.6	Y105E8B.6	Protein Y105E8B.6 
F28C12.7	sra-22	Serpentine receptor class alpha-22 
Y110A7A.21	Y110A7A.21	Protein Y110A7A.21 
C24G7.1	C24G7.1	Protein C24G7.1 
F47B3.1	F47B3.1	Protein F47B3.1 
Y53C10A.9	abt-5	Protein ABT-5 
W02D3.10	fnci-1	Protein FNCI-1, isoform a 
T15D6.3	gly-17	Protein GLY-17 
F32H2.3	spd-2	Spindle-defective protein 2 
Y6B3B.3	Y6B3B.3	Protein Y6B3B.3 
W04A4.4	W04A4.4	Protein W04A4.4 
T28F2.1	T28F2.1	Protein T28F2.1 
T23H2.4	mam-8	Protein MAM-8 
Y92H12BR.3	Y92H12BR.3	Uncharacterized protein Y92H12BR.3 
B0205.5	B0205.5	Protein B0205.5 
Y47H9C.10	fbxa-216	Protein FBXA-216 
F46A9.3	twk-29	Protein TWK-29, isoform b 
Y48G10A.4	Y48G10A.4	Protein Y48G10A.4, isoform a 
D2030.11	D2030.11	Protein D2030.11 
DY3.5	pqn-26	Protein PQN-26 
F25H5.5	F25H5.5	Protein F25H5.5, isoform a 
D1007.13	D1007.13	Protein D1007.13, isoform b 
K10C3.4	K10C3.4	Protein K10C3.4, isoform a 
C41G7.3	C41G7.3	Protein C41G7.3 
F36A2.2	F36A2.2	Protein F36A2.2 
Y71G12B.9	lin-65	Protein LIN-65, isoform a 
ZK39.3	clec-94	Protein CLEC-94 
E01A2.2	E01A2.2	Serrate RNA effector molecule homolog 
Y71F9B.1	Y71F9B.1	Protein Y71F9B.1 
H05L14.2	H05L14.2	Protein H05L14.2 
K11D2.3	unc-101	AP-1 complex subunit mu-1-I 
Y106G6G.1	Y106G6G.1	Protein Y106G6G.1 
ZC328.4	san-1	Protein SAN-1 
Y54E5B.3	let-49	Mediator of RNA polymerase II transcription subunit 7 
F17B5.2	oac-17	Protein OAC-17 
ZK524.4	ZK524.4	Protein ZK524.4 
M01E11.1	M01E11.1	Protein M01E11.1 
T09E11.7	oac-45	Protein OAC-45 
F25H5.10	F25H5.10	Protein F25H5.10 
F31C3.1	cyn-5	Peptidyl-prolyl cis-trans isomerase 5 
Y18D10A.12	clec-106	Protein CLEC-106 
Y65B4BR.1	Y65B4BR.1	Protein Y65B4BR.1 
ZK858.3	clec-91	C-type lectin domain-containing protein 91 
W01B11.6	W01B11.6	Protein W01B11.6, isoform a 
F27C1.3	F27C1.3	Protein F27C1.3 
W02A11.1	W02A11.1	Protein W02A11.1 
Y71F9B.9	Y71F9B.9	Protein Y71F9B.9, isoform b 
F21F3.5	unc-38	Acetylcholine receptor subunit alpha-type unc-38 
T09B4.3	T09B4.3	Protein T09B4.3, isoform b 
C01G8.5	erm-1	Protein ERM-1, isoform a 
C06A5.3	C06A5.3	Protein C06A5.3, isoform b 
Y54E10A.11	Y54E10A.11	E3 ubiquitin-protein ligase listerin 
H06O01.1	pdi-3	Protein PDI-3 
K09H9.9	K09H9.9	Protein K09H9.9 
F55H12.7	F55H12.7	Protein F55H12.7, isoform a 
C17E4.4	C17E4.4	Protein C17E4.4 
W03D8.8	W03D8.8	Protein W03D8.8 
R05D11.1	daf-8	Protein DAF-8 
C55B7.8	dbr-1	Lariat debranching enzyme 
F43G9.5	cfim-1	Protein CFIM-1 
C46H11.7	C46H11.7	Protein C46H11.7 
F17B5.5	clec-110	Protein CLEC-110 
C15A11.3	sol-1	Suppressor of lurcher protein 1 
Y37F4.7	Y37F4.7	Protein Y37F4.7 
D2030.1	mans-1	Protein D2030.1 
R05D11.5	R05D11.5	Protein R05D11.5 
K05C4.2	K05C4.2	Protein jagunal homolog 
Y92H12A.4	Y92H12A.4	Protein Y92H12A.4 
F09C3.3	fbxb-68	Protein FBXB-68 
C30F12.7	idhg-2	Protein IDHG-2 
Y52B11A.19	Y52B11A.19	Protein Y52B11A.19 
K06A5.3	K06A5.3	Protein K06A5.3 
Y54E10BL.3	Y54E10BL.3	Protein Y54E10BL.3 
C48E7.1	C48E7.1	Protein C48E7.1 
ZK39.2	clec-95	Protein CLEC-95 
Y63D3A.4	Y63D3A.4	5'-tyrosyl-DNA phosphodiesterase 
W05H12.4	W05H12.4	Protein W05H12.4 
D1037.3	ftn-2	Protein FTN-2 
F26H9.2	F26H9.2	Protein F26H9.2 
C10G11.8	C10G11.8	Protein C10G11.8 
F11A6.15	F11A6.15	Protein F11A6.15 
F36F2.1	F36F2.1	Protein F36F2.1, isoform a 
Y48G8AL.14	aps-3	Protein APS-3 
Y105E8A.7	eat-18	Protein LEV-10, isoform e 
K08C9.5	K08C9.5	Protein K08C9.5 
W03G9.8	W03G9.8	Protein W03G9.8 
F57B10.4	F57B10.4	Protein F57B10.4 
Y71A12B.8	Y71A12B.8	Protein Y71A12B.8 
C37A5.11	C37A5.11	Protein C37A5.11 
B0205.13	B0205.13	Protein B0205.13 
F30A10.15	F30A10.15	Protein F30A10.15 
K07A1.4	K07A1.4	Protein K07A1.4 
T25G3.3	T25G3.3	Protein T25G3.3 
C35E7.8	C35E7.8	Protein C35E7.8 
ZK858.7	ZK858.7	Protein ZK858.7 
Y106G6H.3	rpl-30	Protein RPL-30 
F30A10.12	F30A10.12	Protein F30A10.12 
T22A3.2	hsp-12.1	Protein HSP-12.1, isoform a 
ZK265.6	ZK265.6	Nucleolar protein 16 
K07A1.10	K07A1.10	Protein K07A1.10 
Y106G6H.4	madf-10	Protein MADF-10 
F59C6.6	nlp-4	Protein NLP-4 
F26E4.3	F26E4.3	Uncharacterized peptidase C1-like protein F26E4.3 
F25H2.12	F25H2.12	Protein F25H2.12, isoform a 
W01B11.2	sulp-6	Protein SULP-6 
Y52B11A.12	Y52B11A.12
T03F1.10	clec-53	Protein CLEC-53 
Y6B3B.5	Y6B3B.5	Protein Y6B3B.5, isoform b 
Y48G1BL.1	Y48G1BL.1	Protein Y48G1BL.1 
F10G8.7	ercc-1	Protein ERCC-1 
W05F2.3	W05F2.3	Protein W05F2.3 
R05D7.3	R05D7.3	Protein R05D7.3 
Y71G12B.5	Y71G12B.5	Protein Y71G12B.5 
F56A6.5	F56A6.5	Protein F56A6.5 
Y47H9C.2	dhhc-2	Protein DHHC-2 
T26E3.6	T26E3.6	Protein T26E3.6 
Y71G12B.20	mab-20	Semaphorin-2A 
Y54E10A.16	mab-31	Protein MAB-31, isoform a 
Y105E8B.9	Y105E8B.9	Protein Y105E8B.9 
Y53C10A.15	Y53C10A.15	Protein Y53C10A.15 
F33D11.9	hpo-3	Protein HPO-3, isoform b 
C32F10.2	lin-35	Protein LIN-35 
Y37E3.11	Y37E3.11	Protein Y37E3.11, isoform b 
F43G9.9	cpn-1	Protein CPN-1 
C55C2.4	C55C2.4	Protein C55C2.4 
F53G12.3	duox-2	Protein DUOX-2 
M04C9.4	M04C9.4	Protein M04C9.4 
C18E3.9	C18E3.9	Protein C18E3.9, isoform a 
C01H6.9	C01H6.9	Protein C01H6.9 
Y110A7A.4	Y110A7A.4	Protein Y110A7A.4 
F55F8.9	F55F8.9	Protein F55F8.9, isoform b 
C41G7.2	klp-16	Protein KLP-16 
F33H2.6	F33H2.6	Protein F33H2.6 
Y48G1C.5	Y48G1C.5	Protein Y48G1C.5 
Y47G6A.28	tag-63	Protein TAG-63 
C18E3.3	C18E3.3	Protein C18E3.3 
F22D6.12	gly-19	Protein GLY-19 
C01A2.3	C01A2.3	Protein C01A2.3 
C43H8.2	mafr-1	Protein C43H8.2 
T02G6.4	T02G6.4	Protein T02G6.4 
F28B3.1	F28B3.1	Protein F28B3.1 
Y87G2A.11	Y87G2A.11	Protein Y87G2A.11 
F27D4.6	F27D4.6	Protein F27D4.6, isoform b 
B0041.6	ptps-1	Putative 6-pyruvoyl tetrahydrobiopterin synthase 
C03D6.6	lab-1	Protein LAB-1 
F31C3.4	F31C3.4	Protein F31C3.4 
Y52B11A.20	Y52B11A.20	Protein Y52B11A.20, isoform a 
F32H2.11	F32H2.11	Protein F32H2.11 
ZK909.5	fbxb-70	Protein FBXB-70 
Y73E7A.9	adpr-1	Protein ADPR-1 
Y71A12B.3	Y71A12B.3	Protein Y71A12B.2 
Y87G2A.7	Y87G2A.7	Protein Y87G2A.7 
F55F8.6	mff-2	Protein MFF-2 
C49A1.1	C49A1.1	Protein C49A1.1 
B0207.11	B0207.11	Protein B0207.11 
W02D9.8	W02D9.8	Protein W02D9.8 
C53D5.3	C53D5.3	Protein C53D5.3 
Y40B1B.5	eif-3.J	Protein EIF-3.J 
T23D8.4	eif-3.C	Eukaryotic translation initiation factor 3 subunit C 
F59A3.9	pup-3	Protein PUP-3 
F56H6.6	F56H6.6	Protein F56H6.6 
T01G9.2	T01G9.2	UPF0183 protein T01G9.2 
T01H8.1	rskn-1	Putative ribosomal protein S6 kinase alpha-1 
C37A5.4	fipr-23	Protein FIPR-23 
K05C4.10	K05C4.10	Protein K05C4.10 
C43E11.8	exoc-7	Protein EXOC-7 
T04D1.4	chd-7	Protein CHD-7 
T22C1.6	T22C1.6	Protein T22C1.6 
D1081.4	D1081.4	Protein D1081.4 
F22G12.5	F22G12.5	Protein F22G12.5, isoform b 
T24D1.3	T24D1.3	Protein T24D1.3 
E03H4.3	E03H4.3	Protein E03H4.3 
M01A10.2	tom-1	Protein TOM-1, isoform e 
W03D8.10	W03D8.10	Protein W03D8.10 
B0019.1	amx-2	Protein AMX-2 
F26A3.6	del-3	Protein DEL-3 
C04F12.12	C04F12.12	Protein C04F12.12 
K05C4.5	K05C4.5	Protein K05C4.5 
F56F4.4	F56F4.4	Protein F56F4.4 
W09C3.8	W09C3.8	Protein W09C3.8 
F26A3.5	F26A3.5	Protein F26A3.5 
F18C12.3	F18C12.3	Protein F18C12.3 
Y18H1A.7	Y18H1A.7	Protein Y18H1A.7 
C31H5.6	C31H5.6	Protein C31H5.6, isoform a 
F41D3.2	oac-26	Protein OAC-26 
T22C1.12	T22C1.12	Protein T22C1.12 
T07D10.1	T07D10.1	Protein T07D10.1 
C26C6.2	goa-1	Guanine nucleotide-binding protein G(o) subunit alpha 
F30F8.5	F30F8.5	Protein F30F8.5, isoform b 
F02E9.7	F02E9.7	Protein F02E9.7 
Y54E10A.14	rom-5	Protein ROM-5 
F36F2.8	F36F2.8	Protein F36F2.8 
C35E7.6	C35E7.6	Protein C35E7.6 
C10H11.9	let-502	Rho-associated protein kinase let-502 
T08B2.8	mrpl-23	Probable 39S ribosomal protein L23, mitochondrial 
Y23H5B.12	Y23H5B.12	Protein Y23H5B.12 
T06G6.7	srw-88	Protein SRW-88 
B0511.3	fbxa-125	Protein FBXA-125 
F35E2.5	F35E2.5	Protein F35E2.5 
K04G2.12	K04G2.12	Protein K04G2.12 
C55B7.2	gly-2	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase 
F57C9.1	F57C9.1	Putative pyridoxal kinase 
F14B6.5	oac-16	Protein OAC-16 
B0205.11	mrpl-9	Protein MRPL-9 
D1007.5	D1007.5	Protein D1007.5, isoform a 
