Ensembl Gene ID	Associated Gene Name	Descriptio
AT5G25380	CYCA2;1	cyclin a2;1
AT5G56920	AT5G56920	cystatin-related protein
AT5G38000	AT5G38000	2-alkenal reductase
AT5G15050	AT5G15050	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
AT1G80840	WRKY40	putative WRKY transcription factor 40
AT5G53670	AT5G53670	uncharacterized protein
ATCG00920	RRN16S.1	chloroplast-encoded 16S ribosomal RNA
AT1G60545	AT1G60545	other RNA
AT2G23160	AT2G23160	F-box protein
AT4G29940	PRHA	Pathogenesis-related homeodomain protein
AT3G09550	AT3G09550	ankyrin repeat-containing protein
AT5G44630	AT5G44630	alpha-barbatene synthase
AT2G39140	SVR1	suppressor of variegation1 causing pseudouridine synthase-like protein
AT2G40900	AT2G40900	nodulin MtN21 /EamA-like transporter protein
AT3G48670	IDN2	XH/XS domain-containing protein
AT3G11270	MEE34	26S proteasome regulatory subunit N8
AT4G29330	DER1	derlin-1
AT5G48545	HINT3	protein histidine triad nucleotide-binding 3
AT1G49490	AT1G49490	Pollen-specific leucine-rich repeat extensin-like protein 2
AT3G08530	AT3G08530	Clathrin, heavy chain
AT2G19190	FRK1	senescence-induced receptor-like serine/threonine-protein kinase
AT3G22380	TIC	protein TIME FOR COFFEE
AT2G41835	AT2G41835	zinc finger AN1 and C2H2 domain-containing stress-associated protein 11
AT3G05140	RBK2	ROP binding protein kinase 2
AT1G48690	AT1G48690	Auxin-responsive GH3 family protein
AT1G49570	AT1G49570	peroxidase 10
AT2G39110	AT2G39110	protein kinase domain-containing protein
AT4G32660	AME3	serine/threonine-protein kinase AFC3
AT1G75580	AT1G75580	SAUR-like auxin-responsive protein
AT5G45920	AT5G45920	GDSL esterase/lipase
AT3G52760	AT3G52760	Yip1 integral membrane domain-containing protein
AT5G52750	AT5G52750	heavy metal transport/detoxification domain-containing protein
AT3G27460	AT3G27460	SGF29 tudor-like domain-containing protein
AT5G18830	SPL7	squamosa promoter-binding-like protein 7
AT2G38910	CPK20	calcium-dependent protein kinase 20
AT3G32320	AT3G32320	transposable element gene
AT1G12720	AT1G12720	transposable element gene
AT3G28945	AT3G28945
AT2G36060	MMZ3	ubiquitin-conjugating enzyme E2 variant 1C
AT4G04360	AT4G04360	uncharacterized protein
AT1G72980	LBD7	LOB domain-containing protein 7
AT2G07684	AT2G07684	uncharacterized protein
AT5G51840	AT5G51840	uncharacterized protein
AT4G17490	ATERF6	ethylene-responsive transcription factor 6
AT2G32950	COP1	E3 ubiquitin-protein ligase COP1
AT2G24420	AT2G24420	ATPase-related DNA repair protein
AT5G21930	ATHMA8	P-type ATPase
AT5G33259	AT5G33259
AT3G33555	AT3G33555
AT1G26440	ATUPS5	ureide permease 5
AT1G22070	TGA3	transcription factor TGA3
AT3G43940	AT3G43940	uncharacterized protein
AT3G55990	ESK1	uncharacterized protein
AT2G40750	ATWRKY54	WRKY DNA-binding protein 54
AT3G54900	CXIP1	monothiol glutaredoxin-S14
AT3G12910	AT3G12910	no apical meristem domain-containing transcriptional regulator
AT1G73603	LCR64	defensin-like protein 178
AT4G07456	AT4G07456	transposable element gene
AT3G25730	EDF3	AP2/ERF and B3 domain-containing transcription factor ARF14
AT2G28960	AT2G28960	putative LRR receptor-like serine/threonine-protein kinase
AT3G48680	GAMMA CAL2	gamma carbonic anhydrase-like 2
AT4G27395	AT4G27395	pre-tRNA
AT2G04842	EMB2761	putative threonyl-tRNA synthetase, putative / threonine--tRNA ligase
AT2G14455	AT2G14455	transposable element gene
AT3G63360	AT3G63360	defensin-like protein 11
AT3G18010	WOX1	WUSCHEL-related homeobox 1
AT4G12000	AT4G12000	SNARE associated Golgi family protein
AT1G29880	AT1G29880	glycyl-tRNA synthetase 1
AT4G04550	AT4G04550	transposable element gene
AT5G27280	AT5G27280	Zim17-type zinc finger protein
AT3G46070	AT3G46070	C2H2-type zinc finger protein
AT3G19120	AT3G19120	PIF / Ping-Pong family of plant transposase
AT3G56408	AT3G56408	other RNA
AT1G65585	AT1G65585	pseudogene
AT3G01840	AT3G01840	protein kinase domain-containing protein
AT2G20690	AT2G20690	riboflavin synthase alpha chain
AT5G28527	AT5G28527
AT5G10110	AT5G10110	uncharacterized protein
AT3G14290	PAE2	proteasome subunit alpha type-5-B
AT3G23090	AT3G23090	targeting protein for Xklp2-like protein
AT3G08690	UBC11	ubiquitin-conjugating enzyme E2 11
AT2G01830	WOL	histidine kinase 4
AT3G48540	AT3G48540	dCMP deaminase
AT1G06240	AT1G06240	uncharacterized protein
AT1G72330	ALAAT2	alanine aminotransferase 2
AT5G05050	AT5G05050	peptidase C1A papain family protein
AT3G31990	AT3G31990
AT1G35300	AT1G35300	transposable element gene
AT5G42470	AT5G42470	BRCA1-A complex subunit BRE
AT1G57040	AT1G57040	pre-tRNA
AT3G36659	AT3G36659	plant invertase/pectin methylesterase inhibitor domain-containing protein
AT4G33040	AT4G33040	glutaredoxin-C6
AT1G45050	ATUBC2-1	ubiquitin-conjugating enzyme 15
AT5G61770	PPAN	Peter Pan-like protein
AT1G10430	PP2A-2	serine/threonine-protein phosphatase PP2A-2 catalytic subunit
AT2G31865	PARG2	putative poly(ADP-ribose) glycohydrolase 2
AT1G05670	AT1G05670	uncharacterized UDP-glucosyltransferase
AT3G54630	AT3G54630	kinetochore protein NDC80
AT1G64110	AT1G64110	P-loop containing nucleoside triphosphate hydrolase-like protein
AT1G65220	AT1G65220	armadillo/beta-catenin-like repeat-containing protein
AT2G29080	ftsh3	cell division protease ftsH-3
AT4G03635	AT4G03635	uncharacterized protein
AT5G45095	AT5G45095	uncharacterized protein
AT2G46280	TIF3I1	translation initiation factor 3 subunit I
AT2G19870	AT2G19870	tRNA/rRNA methyltransferase (SpoU)-like protein
AT4G34200	EDA9	D-3-phosphoglycerate dehydrogenase
AT5G35660	AT5G35660	glycine-rich protein
AT2G14210	AGL44	protein agamous-like 44
AT3G07115	AT3G07115	pre-tRNA
AT2G21570	AT2G21570	pre-tRNA
AT3G29150	AT3G29150
AT3G54530	AT3G54530	uncharacterized protein
AT3G54410	AT3G54410	uncharacterized protein
AT4G12800	PSAL	photosystem I reaction center subunit XI
AT1G07310	AT1G07310	calcium-dependent lipid-binding domain
AT1G77230	AT1G77230	tetratricopeptide repeat-containing protein
AT2G44440	AT2G44440	Emsy N Terminus (ENT) domain-containing protein
AT3G57440	AT3G57440	uncharacterized protein
AT4G30993	AT4G30993	metallophosphatase domain-containing protein
AT5G60260	AT5G60260	uncharacterized protein
AT5G14740	CA2	carbonic anhydrase 2
AT5G54225	LCR83	putative defensin-like protein 70
AT5G47510	AT5G47510	Sec14p-like phosphatidylinositol transfer family protein
AT1G14880	PCR1	cadmium resistance protein 1
AT5G32512	AT5G32512	transposable element gene
AT4G34350	ISPH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
AT5G26147	MIR156F	MIR156F miRNA
AT2G30730	AT2G30730	protein kinase-like protein
AT3G23070	ATCFM3A	CRM family member 3A
AT2G23690	AT2G23690	uncharacterized protein
AT5G16950	AT5G16950	uncharacterized protein
AT2G40710	AT2G40710	Haemolysin-III related integral membrane protein
AT1G69792	MIR395	MIR395D miRNA
AT1G26650	AT1G26650	uncharacterized protein
AT3G33124	AT3G33124	transposable element gene
AT5G20300	AT5G20300	translocase of chloroplast 90
AT3G01550	ATPPT2	phosphoenolpyruvate (pep)/phosphate translocator 2
AT2G02930	ATGSTF3	glutathione S-transferase 16
AT4G22320	AT4G22320	uncharacterized protein
AT2G32040	AT2G32040	major facilitator protein
AT3G03740	ATBPM4	BTB/POZ and M4 domain-containing protein
AT5G45850	AT5G45850	uncharacterized protein
AT3G62620	AT3G62620	sucrose-phosphatase-like protein
AT2G34940	VSR5	vacuolar-sorting receptor 5
AT3G51780	BAG4	BCL-2-associated athanogene 4
AT4G05130	ATENT4	equilibrative nucleoside transporter 4
AT5G11320	YUC4	Flavin-binding monooxygenase family protein
AT2G20320	AT2G20320	DENN (AEX-3) domain-containing protein
AT3G14880	AT3G14880	uncharacterized protein
AT4G25670	AT4G25670	uncharacterized protein
AT2G27300	NTL8	protein NTM1-like 8
AT3G04570	AHL19	AT-hook motif nuclear-localized protein 19
AT3G59110	AT3G59110	protein kinase family protein
AT5G59120	ATSBT4.13	subtilase 4.13
AT2G31800	AT2G31800	Integrin-linked protein kinase-like protein
AT5G43420	AT5G43420	RING-H2 finger protein ATL16
AT1G74240	AT1G74240	Mitochondrial substrate carrier family protein
AT3G10320	AT3G10320	Glycosyltransferase family 61 protein
ATCG00065	RPS12	ribosomal protein S12A
AT3G19960	ATM1	myosin 1
AT3G14820	AT3G14820	GDSL esterase/lipase
AT3G28917	MIF2	mini zinc finger 2
AT3G43302	AT3G43302	transposable element gene
AT5G22315	AT5G22315	pre-tRNA
AT3G45630	AT3G45630	CCR4-NOT transcription complex subunit 4
AT3G42783	AT3G42783	transposable element gene
AT4G27140	SESA1	seed storage albumin 1
AT2G36420	AT2G36420	uncharacterized protein
AT2G33580	AT2G33580	protein kinase family protein
AT5G53330	AT5G53330	Ubiquitin-associated/translation elongation factor EF1B protein
AT1G65820	AT1G65820	glutathione S-transferase
AT1G22900	AT1G22900	disease resistance-responsive, dirigent domain-containing protein
AT5G61700	ATATH16	ABC transporter A family member 12
AT2G07880	AT2G07880	transposable element gene
AT1G52080	AR791	actin binding protein family
AT1G69140	AT1G69140	pseudogene
AT1G35180	AT1G35180	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
AT1G30070	AT1G30070	calcyclin binding protein
AT1G35210	AT1G35210	uncharacterized protein
AT3G12050	AT3G12050	Aha1 domain-containing protein
AT3G03341	AT3G03341	uncharacterized protein
AT5G07160	AT5G07160	DNA binding protein
AT1G73740	AT1G73740	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
AT1G34110	AT1G34110	leucine-rich receptor-like protein kinase
AT4G16780	ATHB2	homeobox-leucine zipper protein HAT4
AT3G15970	AT3G15970	NUP50 protein
AT3G01970	WRKY45	WRKY DNA-binding protein 45
AT4G33905	AT4G33905	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
AT2G40360	AT2G40360	transducin/WD-40 repeat-containing protein
AT3G11970	AT3G11970
AT1G33890	AT1G33890	avirulence induced protein
AT1G08040	AT1G08040	uncharacterized protein
AT3G47670	AT3G47670	plant invertase/pectin methylesterase inhibitor domain-containing protein
AT1G63522	AT1G63522	defensin-like protein 278
AT5G09900	MSA	26S proteasome regulatory subunit N5
AT3G30778	AT3G30778	uncharacterized protein
AT5G64920	CIP8	E3 ubiquitin-protein ligase CIP8
AT1G38550	AT1G38550	transposable element gene
AT1G10522	AT1G10522	uncharacterized protein
AT3G27190	UKL2	putative uracil phosphoribosyltransferase
AT4G04370	AT4G04370	pentatricopeptide repeat-containing protein
AT4G34970	ADF9	actin depolymerizing factor 9
AT5G60470	AT5G60470	C2H2 and C2HC zinc finger-containing protein
AT3G10130	AT3G10130	heme-binding-like protein
AT5G10430	AGP4	arabinogalactan protein 4
AT4G08655	AT4G08655	transposable element gene
AT2G24660	AT2G24660	transposable element gene
AT3G54826	AT3G54826	Zim17-type zinc finger protein
AT1G69080	AT1G69080	adenine nucleotide alpha hydrolases-like protein
AT5G56747	AT5G56747	transposable element gene
ATMG01350	ORF145C	hypothetical protein
AT1G73300	scpl2	serine carboxypeptidase-like 2
AT5G36650	AT5G36650
AT3G10680	AT3G10680	heat shock-related protein
AT4G08030	AT4G08030	transposable element gene
AT3G52590	UBQ1	60S ribosomal protein L40-2
AT5G47840	AMK2	adenosine monophosphate kinase
AT2G42240	AT2G42240	RNA recognition motif-containing protein
AT5G04850	VPS60.2	charged multivesicular body protein 5
AT1G05760	RTM1	protein restricted tev movement 1
AT1G30530	UGT78D1	flavonol-3-O-glucoside L-rhamnosyltransferase
AT2G12000	AT2G12000	transposable element gene
AT5G34839	AT5G34839	transposable element gene
AT4G04276	AT4G04276	transposable element gene
AT1G73570	AT1G73570	HCP-like protein
AT2G17610	AT2G17610	transposable element gene
AT5G32471	AT5G32471	pseudogene
AT5G59010	AT5G59010	putative receptor protein kinase
AT5G45595	AT5G45595	transposable element gene
AT4G05049	AT4G05049	unknown pseudogene
AT5G50115	AT5G50115	uncharacterized protein
AT1G66150	TMK1	putative receptor protein kinase TMK1
AT5G45790	AT5G45790	ubiquitin carboxyl-terminal hydrolase-like protein
AT5G27700	AT5G27700	small subunit ribosomal protein S21e
AT4G06532	AT4G06532
AT4G06582	AT4G06582	pseudogene
AT2G30460	AT2G30460	Nucleotide/sugar transporter family protein
AT2G11700	AT2G11700	transposable element gene
AT5G19970	AT5G19970	uncharacterized protein
AT5G48430	AT5G48430	aspartyl protease family protein
AT5G18755	AT5G18755	pre-tRNA
AT5G18130	AT5G18130	uncharacterized protein
AT1G77120	ADH1	alcohol dehydrogenase class-P
AT1G50590	AT1G50590	Pirin-like protein
AT5G05470	EIF2 ALPHA	translation initiation factor eIF-2 alpha subunit
AT3G33537	AT3G33537
AT1G08005	AT1G08005	uncharacterized protein
AT4G27670	HSP21	heat shock protein 21
AT4G08347	AT4G08347	pseudogene
AT3G28300	AT14A	uncharacterized protein
AT4G08810	SUB1	calcium ion binding protein
AT2G07813	AT2G07813	Pseudogene of ATMG01260
AT3G32980	AT3G32980	peroxidase 32
AT4G29580	AT4G29580	cytidine/deoxycytidylate deaminase-like protein
AT3G62200	AT3G62200	Putative endonuclease or glycosyl hydrolase
AT4G14226	AT4G14226	uncharacterized protein
AT4G21600	ENDO5	endonuclease 5
AT3G54060	AT3G54060	uncharacterized protein
AT3G19830	NTMC2TYPE5.2	calcium-dependent lipid-binding domain-containing protein
AT3G03780	ATMS2	methionine synthase 2
AT3G54110	ATUCP1	uncoupling mitochondrial protein 1
AT5G12430	TPR16	Heat shock protein DnaJ with tetratricopeptide repeat
AT4G03350	AT4G03350	ubiquitin family protein
AT1G77760	NR1	nitrate reductase
AT3G06150	AT3G06150	uncharacterized protein
AT4G06614	AT4G06614
AT5G46845	MIR160	MIR160/MIR160C (MICRORNA160) miRNA
AT3G52750	FTSZ2-2	Tubulin/FtsZ family protein
AT1G51410	AT1G51410	Rossmann-fold NAD(P)-binding domain-containing protein
AT1G50020	AT1G50020	uncharacterized protein
AT5G27810	AT5G27810	MADS-box transcription factor family protein
AT4G02482	AT4G02482	putative GTP-binding protein
AT4G20440	SMB	small nuclear ribonucleoprotein associated protein B
AT3G13600	AT3G13600	calmodulin-binding protein-like protein
AT3G31051	AT3G31051	uncharacterized protein
AT4G32050	AT4G32050	neurochondrin family protein
AT3G48523	AT3G48523	transposable element gene
AT2G38660	AT2G38660	amino acid dehydrogenase-like protein
AT4G00690	ULP1B	UB-like protease 1B
AT4G07944	AT4G07944	transposable element gene
AT1G53265	AT1G53265	uncharacterized protein
AT5G27230	AT5G27230	Frigida-like protein
AT5G32505	AT5G32505
AT1G17270	AT1G17270	peptide-O-fucosyltransferase
AT4G17920	AT4G17920	RING-H2 finger protein ATL29
AT1G74350	AT1G74350	intron maturase, type II-like protein
AT1G75230	AT1G75230	DNA-3-methyladenine glycosylase II
AT2G07766	AT2G07766	(AT2G07766) tRNA
AT1G17140	ICR1	interactor of constitutive active ROPs 1
AT5G11020	AT5G11020	ser/thr specific protein kinase-like protein
AT1G43560	Aty2	thioredoxin Y2
AT5G26030	FC-I	ferrochelatase 1
AT4G24900	AT4G24900	uncharacterized protein
AT4G03190	ATGRH1	GRR1-like protein 1
AT3G29769	AT3G29769	transposable element gene
AT1G07700	AT1G07700	thioredoxin-like 4
AT1G33750	AT1G33750	terpene cyclase, C1 domain-containing protein
AT3G51880	NFD1	high mobility group protein B1
AT1G14750	SDS	cyclin-SDS
AT5G62760	AT5G62760	ZAP-like protein
AT3G18035	HON4	DNA-binding protein HMR1-like protein
AT1G05900	NTH2	endonuclease III
AT2G16505	AT2G16505	maternally expressed family protein
AT1G44120	AT1G44120	armadillo/beta-catenin-like repeat and C2 calcium/lipid-binding domain-containing protein
AT5G02190	ATASP38	aspartyl protease family protein
AT2G41082	AT2G41082	uncharacterized protein
AT4G21320	HSA32	Aldolase-type TIM barrel family protein
AT5G42957	AT5G42957	uncharacterized protein
AT5G48510	AT5G48510	BTB/POZ domain-containing protein
AT4G06738	AT4G06738	transposable element gene
AT5G55560	AT5G55560	putative serine/threonine-protein kinase WNK11
AT3G33066	AT3G33066	transposable element gene
AT4G02300	AT4G02300	pectinesterase 39
AT2G25330	AT2G25330	TRAF-like family protein
AT1G47595	AT1G47595	pseudogene
ATCG01250	NDHB.2	NADH-Ubiquinone/plastoquinone (complex I) protein
AT5G63190	AT5G63190	MA3 domain-containing protein
AT2G21140	ATPRP2	proline-rich protein 2
AT4G00530	AT4G00530	uncharacterized protein
AT2G01300	AT2G01300	uncharacterized protein
AT1G01710	AT1G01710	palmitoyl-CoA hydrolase
AT4G15460	AT4G15460	glycine-rich protein
AT5G11475	AT5G11475	pre-tRNA
AT5G38120	4CL8	4-coumarate--CoA ligase-like 8
AT1G44000	AT1G44000	uncharacterized protein
AT1G73960	TAF2	TBP-associated factor 2
AT1G11360	AT1G11360	adenine nucleotide alpha hydrolases-like protein
AT2G33400	AT2G33400	uncharacterized protein
AT3G10845	AT3G10845	RNA recognition motif-containing protein
AT1G04490	AT1G04490	uncharacterized protein
AT5G35413	AT5G35413	transposable element gene
AT1G15310	ATHSRP54A	Signal recognition particle protein 1
AT1G13300	HRS1	myb-like transcription factor family protein
AT3G12010	AT3G12010	uncharacterized protein
AT5G56745	AT5G56745	pre-tRNA
AT3G56390	AT3G56390	uncharacterized protein
AT3G19660	AT3G19660	uncharacterized protein
AT4G01595	AT4G01595	protein kinase-like protein
AT2G37362	AT2G37362	Potential natural antisense gene, locus overlaps with AT2G37360
AT2G02180	TOM3	tobamovirus multiplication protein 3
AT1G42705	AT1G42705	transposable element gene
AT1G32120	AT1G32120	uncharacterized protein
AT1G31480	SGR2	protein shoot gravitropism 2 (SGR2)
AT2G39570	AT2G39570	ACT domain-containing protein
AT1G21150	AT1G21150	Mitochondrial transcription termination factor family protein
AT1G78110	AT1G78110	uncharacterized protein
AT1G80080	TMM	protein TOO MANY MOUTHS
AT2G47470	ATPDI11	protein disulfide-isomerase A6
AT2G45110	EXPB4	expansin B4
AT3G58710	WRKY69	putative WRKY transcription factor 69
AT5G57350	HA3	H(+)-ATPase 3
AT5G49240	APRR4	putative two-component response regulator-like APRR4
AT1G77980	AGL66	protein agamous-like 66
AT2G39770	GMP1	mannose-1-phosphate guanylyltransferase
AT3G58810	ATMTPA2	metal tolerance protein A2
AT2G24180	CYP71B6	cytochrome P450 71B6
AT4G35520	MLH3	DNA mismatch repair protein MLH3
AT4G10790	AT4G10790	UBX domain-containing protein
AT2G06985	AT2G06985	hypothetical protein
AT3G28330	AT3G28330	F-box family protein-like protein
AT1G34170	ARF13	auxin response factor 13
AT4G08112	AT4G08112	transposable element gene
AT3G24440	VRN5	Fibronectin type III domain-containing protein
AT3G27500	AT3G27500	cysteine/histidine-rich C1 domain-containing protein
AT1G36290	AT1G36290	transposable element gene
AT5G03260	LAC11	laccase 11
AT2G03620	MGT3	magnesium transporter MRS2-5
AT5G47180	AT5G47180	VAMP (vesicle-associated membrane protein) family protein
AT2G09900	AT2G09900	transposable element gene
AT5G44000	AT5G44000	Glutathione S-transferase family protein
AT5G08020	ATRPA70B	RPA70-kDa subunit B
AT5G64570	XYL4	beta-D-xylosidase 4
AT1G43722	AT1G43722	uncharacterized protein
AT4G36250	ALDH3F1	aldehyde dehydrogenase 3F1
AT3G23171	AT3G23171	uncharacterized protein
AT5G42797	LCR28	defensin-like protein 130
AT5G14060	CARAB-AK-LYS	aspartokinase 2
AT5G11480	AT5G11480	putative GTP-binding protein
AT4G07942	AT4G07942	transposable element gene
AT1G49020	AT1G49020	pre-tRNA
AT2G27930	AT2G27930	PLATZ transcription factor family protein
AT3G15010	AT3G15010	RNA recognition motif-containing protein
AT5G05270	AT5G05270	chalcone-flavanone isomerase-like proetin
AT2G03230	AT2G03230	GCK domain-containing protein
AT2G10790	AT2G10790	transposable element gene
